"sub_count","total_views"
236000,10972523
646000,128288865
28100,3225805
25600,3635090
4630,2123896
22900,617846
7500,1282343
1150000,476306544
66400,10300093
7360,826451
1020,378388
1720,284258
2810000,1019543417
749,137275
80,1479
20400,4113145
159000,24444700
706000,344480338
8620,1261277
4460000,3577493072
6920,1223044
19800,3212694
16600,1044545
94500,17939577
5800,650054
9370,10827979
679,27355
7520,3512192
3630,644946
2820000,670582881
103000,6696255
675000,71817455
184000,31905204
209,21379
555,116482
1280000,1062621461
397000,107047407
190000,42565084
1670000,528779404
167000,39698073
4490000,2564646236
15700,1727902
9070000,4803356857
245000,16102406
40200,8920338
82600,9764490
32400,5478524
862000,336176827
1,0
1520000,452690767
110000,42430709
4260,675387
62600,6943411
2690,316074
682000,125445672
150,6448
497000,132748158
4180,788908
1940,224830
2020000,957362183
33400000,24314666411
573000,411700379
26600,1556255
26100,32553471
19900,8759996
1670000,788988330
37600,8208558
30900,40578
21300,5454433
26000,19873600
460000,120896831
2010000,671944613
195000,5145118
29000,3476365
16600,2599599
23900,2313401
4950,905878
524000,65164048
13300,2446433
888000,241988086
3240,678178
206000,67235360
1420000,391938075
1520000,170711742
90900,4493983
2580,511153
2080000,394559817
59900,6858917
167000,61790931
36700,8637520
257000,31255546
1390000,150595675
10600,5552473
13100,4365019
77000,2672331
1720,63008
104000,15872338
21200,11416986
1490000,243086898
1280000,125547392
523000,388473015
780,70784
626,206234
4150,205403
3910,289768
2260,372438
723000,604223829
409000,114014926
10400000,2610719186
1940000,591795403
24900,4641672
2200000,1015415000
3030,284108
8070,893566
31400,3443331
11200,1531852
8380,967807
68,10550
108000,18081631
1800000,281968400
18800,1627101
4160,158910
448000,113807568
171000,48900317
488,6926
34100,2416409
767000,230889728
872000,231064454
3660,1994966
217000,64698289
194000,32738429
951000,209924697
16000,2167836
9420,1260456
3290000,1263844313
7040,2280083
35800,673251
552000,123358947
700000,236704228
495,40960
48100,1849938
128,536
16500,1848046
426000,192468407
424000,8815443
1190,279858
902,255291
76300,12956786
17100,354740
314000,64036721
149000,40470931
36300,11715898
11300,557909
292000,118319708
227,160111
193000,56171254
23700,3394260
595,166945
2040000,373569311
4400,473541
55100,6077384
161000,19576189
1510000,141716325
18900,6199028
24100,2723246
1670,256180
317,31889
379,62382
196000,61732044
333000,136811890
5820,1387390
69200,15019974
7390000,3992340915
33700,8012006
75200,32205601
64700,33525665
5160,1088423
917000,148457303
104,10805
2250,480603
71100,13104991
194000,63820074
312,55084
1940000,895798164
2290000,1376244237
22600,8274285
24500,5273617
1120000,50517289
4250000,2108500130
210,62854
818,54380
21500,3010045
12,0
687,382706
5630,162348
237,147744
24400,2439323
40000,2359498
199000,55890674
7180000,1817720564
200000,38893170
631000,97731785
326000,99665457
70000,14290407
27800,5065427
7510,547307
2800,58893409
2590000,1618377636
306,38648
71800,24742645
1670,234395
7650,510775
1140000,144406731
7900,1075686
18200,579096
91400,37281146
73100,22451471
19300,5867803
9260,5160085
92,3677
2920000,874293375
194000,18450451
2260000,639948578
64000,21729340
3870000,2365473420
14200,55600
6310000,1541572054
17300,3793209
513,12958
16100,16272277
23000,3354248
7100,813703
1700,224081
4960,552023
19100,2947341
14100,894320
21400000,4609983231
75400,51770462
159000,72615832
117,9597
104000,23644626
0,0
36600,3642406
66300,12951444
218000,38563263
25000,575266
44500,8318291
2160,227881
1170000,37343219
66800,21248475
193000,31501889
151000,25538384
55200,2259143
24000,7011601
1010,351023
10700,438863
39400,8844819
18300,2651540
123000,10173728
15300,1066529
41600,2920942
23800,1344899
2250000,448128853
523,53735
75,3253
64800,86185
14900,6606424
11400,1897068
5210000,4129059971
29500,1737077
1190000,37817436
6310000,2473540440
11300,1116698
302000,57035206
99700,60814073
763000,88207099
1080,21436
32300,15133694
175000,15874892
7290,664877
909,186788
566000,124611838
29,868
2490,109908
214,34181
195,2719
37500,30185569
7910000,4880550427
7350000,3264384909
14200000,6124207420
2310,521308
9270,3518200
130000,8923811
9510,2693258
68300,7159925
113000,23942308
11900,3172609
2410000,1045687805
381000,187127389
2750,544298
0,0
35800,6558587
115000,16247554
1500,39249
46000,7336403
2050000,2708531824
2010,4477
31400000,5499306097
145,5788
10200,1201657
60300,2110385
58300,6081739
3550,646982
203,27337
1950,326944
3810,440886
213000,90793084
37900,13606326
5970000,1610364965
8030,703467
81000,74678043
6440,1508789
394,14773
208000,7596826
15900,4776527
7740,1320412
107000000,82968545725
24900,8830775
139000,24943409
225000,59331802
37200,712319
883000,122338300
7,18
2340000,1819901318
29500,10154789
1560000,290792273
1710000,323124105
544,90206
3210000,1085586462
629000,411840132
12900000,5954885741
1340,103905
23000,3278330
32400,5702354
540,31154
636,22806
35200,12113301
3860,280172
921000,381638069
832000,534648207
2390,433526
15900,1668813
274000,48540443
4310000,1022840651
4420,581637
42400,6879084
1990,341673
23600,3949942
23300,3016425
14000,2681217
156,29148
9200,4437197
421000,197616221
15200,10582902
5540000,1175526644
25400,5169931
123000,29436157
18500,1330145
2250000,1397941210
5580000,2267899553
163000,36252230
185,23455
469000,96669550
10400000,2521264273
77000,9584731
19000,5322328
111000,44091320
6290,7981286
6480,625354
2380000,368778861
7170,396857
1460000,381122139
1670000,691686612
19800,3882379
4540000,2104375812
546,30077
4170000,5841854862
2720,792081
73700000,31652067761
26200000,3012642890
1900000,502508427
45900000,38433702429
651000,341592085
28800,5489805
30100,113235
5230,692978
26900,936206
445000,58380560
18700,3370483
13400000,7265385135
144000,48814585
21,1306
175000,24679386
7290000,2652357642
1530,37113
2640,254389
1420,42739
1030,110291
533000,238903818
290,10946
38500,2453341
284000,14596298
403000,122431179
209000,12364480
2740,2823981
5910,648712
29700,8212086
25100,2138199
67800,6120483
17400,1106555
59800,7126375
6040000,1475989068
765000,131720765
2010000,1787090628
261,59981
1,0
8200,1632100
1120,198092
51700,10270802
37600,6203455
502000,114255774
27700,5109439
52,4715
18800000,15733139764
8550,708916
5870000,4752892613
31900,5174515
249000,42676122
91600,28165132
364000,33244021
1530,167018
105000,31071482
22500,5413038
14200000,14625430634
50800,10908219
1300000,431585170
13100,4761884
4440,1118355
1600000,649719909
2980,318501
2040,142166
11400,2371029
16200,2864016
4650000,2926140721
15600,1662574
12000,2259691
24500,3396184
2410000,882363754
353000,87619732
13800,21560564
65,7222
14500000,6808788355
837,44644
34100,14379073
58900,4378118
1070000,248261231
11300000,4769154309
19900,3427443
427000,21867146
5210000,5080699261
1050000,39010189
9750,1686011
230000,11123369
1130000,20611162
27,566
7160,5303395
121000,6655640
37300,819851
1450,172068
49000000,31841165958
32300,13465485
680000,180378207
298000,81348074
1630000,410901029
22400,5775662
2600000,3081521246
8900,2906837
3410,757190
121000,67723961
1920,1004114
206,34670
3620,1182923
1800000,561543451
153000,146301819
38600,9575883
87800,50278462
5130000,1029001674
81,5590
24,1415
15800,1421639
11000,722842
13700,4940438
11200000,7268360027
1630,367521
47600,11112544
527000,161959924
13700,2664981
5860,657596
148000,11779540
56000,7023053
1070000,197606000
11300000,6089145513
7260000,2166344255
2540000,711145647
7080,1354072
5900,51091
3550000,1233633143
431000,103748907
9870,2122709
82100,13986964
9150,1364764
193000,19627460
162,12349
106000,21313039
1850000,691108487
683000,271651860
774000,305066828
317000,71356757
1850000,1164726711
19400,14601807
57800,16218643
2560000,2116747477
5470,1044848
224000,51859813
57800,13059397
1880000,237766047
1070,128282
2280000,1145729048
1330000,160604735
58,15974
62600,7842545
11300,1512911
280000,122802080
51900,10332254
3560,144121
510000,236331658
19500,207750
179,12037
7540,414582
2360,913637
39,1199
587000,82956546
6420000,2005380216
74100,44822566
1010000,593217157
1350000,992123963
22100,7356717
240000,27543016
12200,3431993
2680,551629
11800,1349922
1150,87599
2160,415718
539,35598
18600,2542711
6550,2607064
134,19161
1960000,839066754
11800000,5263408705
6540000,5476943997
48600,1932685
743,38985
3100000,2013056408
10300000,3886404561
15400000,7020181272
85000,50721443
2160,129280
512000,26711722
4180000,2007820892
59500,12949141
11500,358819
4200,1483890
1900000,2206476038
1410,250288
946,127431
257000,71067022
3570000,661885408
1180,165365
5670,1016268
6000,161029
2920,272684
9040,893338
146000,41243142
1000,32481
178,4435
12300000,9320399066
66400,10583825
3390000,1055472329
49300,5880471
770,74345
367,108072
7440,4075224
1020000,130409465
14900,618900
1260,46411
285,8612
0,0
613000,257672582
824000,141845625
63500,24083025
10300,2372918
1140000,254582476
1740,471170
19500,5083198
135,19031
860,172371
4280000,3815454473
